Country,Link for geotiff file
Puerto Rico,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/PRI/pri_ppp_2020.tif
Qatar,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/QAT/qat_ppp_2020.tif
Reunion,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/REU/reu_ppp_2020.tif
Romania,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ROU/rou_ppp_2020.tif
Russia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/RUS/rus_ppp_2020.tif
Rwanda,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/RWA/rwa_ppp_2020.tif
Saint Barthélemy,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BLM/blm_ppp_2020.tif
Saint Kitts And Nevis,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/KNA/kna_ppp_2020.tif
Saint Lucia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/LCA/lca_ppp_2020.tif
Saint Martin,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MAF/maf_ppp_2020.tif
Saint Vincent And The Grenadines,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/VCT/vct_ppp_2020.tif
Samoa,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/WSM/wsm_ppp_2020.tif
San Marino,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SMR/smr_ppp_2020.tif
Sao Tome And Principe,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/STP/stp_ppp_2020.tif
Saudi Arabia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SAU/sau_ppp_2020.tif
Senegal,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SEN/sen_ppp_2020.tif
Serbia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SRB/srb_ppp_2020.tif
Seychelles,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SYC/syc_ppp_2020.tif
Sierra Leone,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SLE/sle_ppp_2020.tif
Singapore,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SGP/sgp_ppp_2020.tif
Sint Maarten,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SXM/sxm_ppp_2020.tif
Slovakia (Slovak Republic),https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SVK/svk_ppp_2020.tif
Slovenia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SVN/svn_ppp_2020.tif
Solomon Islands,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SLB/slb_ppp_2020.tif
Somalia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SOM/som_ppp_2020.tif
South Africa,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ZAF/zaf_ppp_2020.tif
South Georgia And South S.S.,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SGS/sgs_ppp_2020.tif
South Sudan,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SSD/ssd_ppp_2020.tif
Spain,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ESP/esp_ppp_2020.tif
Sri Lanka,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/LKA/lka_ppp_2020.tif
St. Helena,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SHN/shn_ppp_2020.tif
St. Pierre And Miquelon,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SPM/spm_ppp_2020.tif
State of Palestine,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/PSE/pse_ppp_2020.tif
Sudan,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SDN/sdn_ppp_2020.tif
Suriname,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SUR/sur_ppp_2020.tif
Svalbard And Jan Mayen Islands,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SJM/sjm_ppp_2020.tif
Sweden,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SWE/swe_ppp_2020.tif
Switzerland,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/CHE/che_ppp_2020.tif
Syrian Arab Republic,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SYR/syr_ppp_2020.tif
"Taiwan, Province Of China",https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TWN/twn_ppp_2020.tif
Tajikistan,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TJK/tjk_ppp_2020.tif
Thailand,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/THA/tha_ppp_2020.tif
Timor-Leste,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TLS/tls_ppp_2020.tif
Togo,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TGO/tgo_ppp_2020.tif
Tokelau,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TKL/tkl_ppp_2020.tif
Tonga,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TON/ton_ppp_2020.tif
Trinidad And Tobago,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TTO/tto_ppp_2020.tif
Tunisia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TUN/tun_ppp_2020.tif
Turkey,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TUR/tur_ppp_2020.tif
Turkmenistan,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TKM/tkm_ppp_2020.tif
Turks And Caicos Islands,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TCA/tca_ppp_2020.tif
Tuvalu,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TUV/tuv_ppp_2020.tif
U.S. Minor Islands,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/UMI/umi_ppp_2020.tif
Uganda,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/UGA/uga_ppp_2020.tif
Ukraine,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/UKR/ukr_ppp_2020.tif
United Arab Emirates,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ARE/are_ppp_2020.tif
United Kingdom,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/GBR/gbr_ppp_2020.tif
United Republic of Tanzania,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TZA/tza_ppp_2020.tif
United States,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/USA/usa_ppp_2020.tif
Uruguay,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/URY/ury_ppp_2020.tif
Uzbekistan,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/UZB/uzb_ppp_2020.tif
Vanuatu,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/VUT/vut_ppp_2020.tif
Venezuela,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/VEN/ven_ppp_2020.tif
Viet Nam,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/VNM/vnm_ppp_2020.tif
Virgin Islands (British),https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/VGB/vgb_ppp_2020.tif
Virgin Islands (U.S.),https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/VIR/vir_ppp_2020.tif
Wallis And Futuna Islands,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/WLF/wlf_ppp_2020.tif
Western Sahara,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ESH/esh_ppp_2020.tif
World,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/0_Mosaicked/ppp_2020_1km_Aggregated.tif
Yemen,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/YEM/yem_ppp_2020.tif
Zambia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ZMB/zmb_ppp_2020.tif
Zimbabwe,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ZWE/zwe_ppp_2020.tif
Åland Islands,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ALA/ala_ppp_2020.tif
